,AutoModerator,SalsaDraugur,Gloomy-Concentrate-2,Apollo_Danger,kchambers92,Walrusin_about,Chicken-fork-king,KeziaTML,Krombopulos-Savage,Olaaphrodite,Pikalika,Bigbam51,coppertech,tryM3B1tch,Vaelthune,Draxtonsmitz,RecklessGeek,soda_fucker,Tinkerballsack,neuromorph,AzureDementia,OneOverX,GrumpMcTaco,bongowasd,holololo2323,pumpkin2500,[deleted],VanCortez,potato_famine69,[deleted],mennnnnnnnnnnnnnn,YuhboiGabe,PAPAxJI,Strict_Grab_6587,Aggressive-Mix-7923,SnooBananas6578,Opening_Builder9027,Longjumping_Key_1624,0507gotquestions,Repulsive_Home_5914,tomorrowlanding
GrumpMcTaco,1.0,0.9259259259259259,0.962962962962963,0.9615384615384616,0.8913043478260869,0.9666666666666667,0.9591836734693877,1.0,0.9444444444444444,1.0,1.0,1.0,0.9464285714285714,0.9285714285714286,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,0.9565217391304348,0.95,0.0,0.9722222222222222,0.9545454545454546,0.8928571428571429,1.0,0.9534883720930233,0.8823529411764706,0.9487179487179487,1.0,1.0,1.0,1.0,1.0,0.8823529411764706,1.0,1.0,1.0,1.0,1.0
bongowasd,1.0,0.875,0.9393939393939394,0.9696969696969697,0.9642857142857143,0.9444444444444444,0.9259259259259259,1.0,1.0,1.0,0.9512195121951219,1.0,0.96875,1.0,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,0.8928571428571429,1.0,0.9722222222222222,0.0,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
holololo2323,1.0,0.9,1.0,0.9473684210526316,0.9767441860465116,0.9565217391304348,0.9523809523809523,1.0,0.8,1.0,0.9642857142857143,1.0,0.9803921568627451,1.0,0.9565217391304348,1.0,1.0,1.0,1.0,1.0,1.0,0.9393939393939394,0.9545454545454546,0.9655172413793104,0.0,0.9565217391304348,1.0,0.972972972972973,0.8,0.9032258064516129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pumpkin2500,1.0,0.9655172413793104,1.0,0.962962962962963,0.9387755102040817,0.896551724137931,0.9803921568627451,1.0,0.9473684210526316,0.9523809523809523,1.0,1.0,0.9655172413793104,0.9666666666666667,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,0.925,0.8928571428571429,1.0,0.9565217391304348,0.0,1.0,0.9545454545454546,0.8888888888888888,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[deleted],1.0,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VanCortez,1.0,0.9767441860465116,0.9761904761904762,0.95,0.96875,1.0,0.96875,1.0,0.9696969696969697,0.9714285714285714,0.98,1.0,0.9577464788732395,0.9534883720930233,0.9777777777777777,1.0,1.0,1.0,1.0,1.0,1.0,0.9636363636363636,0.9534883720930233,1.0,0.972972972972973,0.9545454545454546,1.0,0.0,0.9696969696969697,0.962962962962963,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,0.9714285714285714,1.0,1.0,0.9444444444444444,1.0
potato_famine69,1.0,0.9411764705882353,1.0,0.9333333333333333,1.0,0.9473684210526316,0.9743589743589743,1.0,0.6666666666666667,1.0,0.9583333333333334,1.0,0.9565217391304348,1.0,0.9473684210526316,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.8928571428571429,0.8823529411764706,1.0,0.8,0.8888888888888888,1.0,0.9696969696969697,0.0,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[deleted],1.0,0.9473684210526316,0.9736842105263158,0.9444444444444444,0.8928571428571429,0.975609756097561,0.9310344827586207,1.0,0.9655172413793104,1.0,0.9555555555555556,1.0,0.9552238805970149,0.975,0.975609756097561,0.9090909090909091,1.0,1.0,0.9666666666666667,1.0,1.0,0.9607843137254902,0.9487179487179487,1.0,0.9032258064516129,0.95,0.9655172413793104,0.962962962962963,0.9655172413793104,0.0,0.9615384615384616,0.9615384615384616,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mennnnnnnnnnnnnnn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9615384615384616,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
YuhboiGabe,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9615384615384616,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PAPAxJI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Strict_Grab_6587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Aggressive-Mix-7923,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9473684210526316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SnooBananas6578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8823529411764706,1.0,1.0,1.0,1.0,0.9696969696969697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Opening_Builder9027,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,0.975609756097561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Longjumping_Key_1624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0507gotquestions,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Repulsive_Home_5914,1.0,1.0,1.0,1.0,0.9767441860465116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9545454545454546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
tomorrowlanding,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
